basin	model	experiment	variant	year	total_tc	rate_per_year_per_realization
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2095	170	1.700000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2096	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2097	94	0.940000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2098	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2099	309	3.090000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2015	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2016	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2017	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2018	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2019	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2020	96	0.960000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2021	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2022	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2023	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2024	189	1.890000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2025	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2026	82	0.820000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2027	202	2.020000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2028	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2029	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2030	84	0.840000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2031	0	0.000000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2032	112	1.120000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2033	91	0.910000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2034	82	0.820000
AS	AWI-CM-1-1-MR	ssp585	r1i1p1f1	2035	221	2.210000
